# prcp
	MULTIPOLYGON (((-111.4801 36.95, -111.48 36.9501, -111.4799 36.95, -111.48 36.9499, -111.4801 36.95)))
TIMESTEP	MEAN(mm/day)
2010-01-01T00:00:00Z	0.0
2010-01-02T00:00:00Z	0.0
2010-01-03T00:00:00Z	0.0
