# ppt
,Connecticut,Delaware,District of Columbia,Maryland,Massachusetts,Connecticut,Delaware,District of Columbia,Maryland,Massachusetts,Connecticut,Delaware,District of Columbia,Maryland,Massachusetts,Connecticut,Delaware,District of Columbia,Maryland,Massachusetts
TIMESTEP,MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MINIMUM(mm/month),MINIMUM(mm/month),MINIMUM(mm/month),MINIMUM(mm/month),MINIMUM(mm/month),MAXIMUM(mm/month),MAXIMUM(mm/month),MAXIMUM(mm/month),MAXIMUM(mm/month),MAXIMUM(mm/month),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2),VARIANCE(mm/month^2)
1895-01-01T00:00:00Z,130.80586,111.984116,111.77333,99.64847,97.075615,79.64,91.74,109.97,54.14,62.29,171.26,142.37,114.36,194.22,141.13,219.53624,60.505302,2.323425,258.00943,139.34612
1895-02-01T00:00:00Z,26.275347,39.192448,29.73889,33.06176,27.55872,11.56,27.91,27.19,20.51,14.76,52.16,49.4,34.25,59.72,50.04,26.54904,28.92552,5.2286863,59.57777,29.625978
1895-03-01T00:00:00Z,75.840996,82.16901,55.57111,68.279205,72.55836,53.58,61.4,52.34,36.66,45.75,95.52,101.61,57.7,106.58,104.87,78.95414,103.37378,2.9185362,303.67743,130.07278
1895-04-01T00:00:00Z,116.91905,133.13202,131.25778,122.47185,125.566765,79.76,110.13,124.56,51.5,83.83,142.46,152.93,135.4,178.57,156.94,157.30788,80.92103,10.870845,532.84576,123.46468
1895-05-01T00:00:00Z,70.23227,84.72369,79.837776,79.125404,63.825764,50.53,52.46,78.58,47.32,38.92,92.95,105.67,83.48,145.65,105.82,83.23696,190.2079,2.6195695,251.45438,198.54857
1895-06-01T00:00:00Z,63.614437,83.53099,113.71,100.75812,71.59974,49.39,42.56,106.95,27.78,35.81,84.41,137.38,117.85,173.01,121.72,26.140717,696.42035,11.11085,691.0359,194.0525
1895-07-01T00:00:00Z,113.28736,88.62727,81.85445,81.91062,95.69216,78.34,62.65,74.23,53.65,58.17,147.3,105.42,88.08,120.92,135.62,216.38109,93.99501,16.620678,248.52005,117.17362
1895-08-01T00:00:00Z,93.2642,81.81174,45.696667,62.40409,85.426605,63.73,41.03,40.17,35.58,57.15,125.52,118.86,49.03,95.04,121.43,133.5461,359.53845,7.93415,120.45129,158.54012
1895-09-01T00:00:00Z,62.912876,51.708298,46.63111,61.397938,71.20428,32.35,20.36,44.26,21.38,33.29,101.89,73.98,48.28,129.0,122.41,196.44588,190.21638,2.1692362,576.4905,275.03638
