# rh_debias
,,point1,point2
TIMESTEP,time(day of year),MEAN(%),MEAN(%)
1980-01-01T00:00:00Z,108.0,70.10868,69.36828
1980-01-01T00:00:00Z,109.0,69.8526,66.668495
1980-01-01T00:00:00Z,110.0,66.30527,64.951836
1980-01-01T00:00:00Z,111.0,55.39878,56.450558
1980-01-01T00:00:00Z,112.0,65.38065,74.48455
1980-01-01T00:00:00Z,113.0,76.00583,80.47982
1980-01-01T00:00:00Z,114.0,78.547485,80.746506
1980-01-01T00:00:00Z,115.0,77.27844,80.643616
1980-01-01T00:00:00Z,116.0,75.295876,80.191986
1980-01-01T00:00:00Z,117.0,68.93315,75.03903
1980-01-01T00:00:00Z,118.0,68.85567,71.403946
1980-01-01T00:00:00Z,119.0,71.70419,71.11506
1980-01-01T00:00:00Z,120.0,62.09192,59.406845
1980-01-01T00:00:00Z,121.0,68.27164,65.05202
1980-01-01T00:00:00Z,122.0,69.86933,63.944122
1980-01-01T00:00:00Z,123.0,69.61186,62.526417
1980-01-01T00:00:00Z,124.0,57.529644,57.659077
1980-01-01T00:00:00Z,125.0,51.4831,53.05881
1980-01-01T00:00:00Z,126.0,44.969086,45.158035
1980-01-01T00:00:00Z,127.0,49.308807,51.48522
1980-01-01T00:00:00Z,128.0,59.56746,60.48255
1980-01-01T00:00:00Z,129.0,55.687885,50.48203
1980-01-01T00:00:00Z,130.0,55.835087,60.82118
1980-01-01T00:00:00Z,131.0,54.323032,54.259846
1980-01-01T00:00:00Z,132.0,67.91026,65.484604
1980-01-01T00:00:00Z,133.0,75.95819,68.08242
1980-01-01T00:00:00Z,134.0,70.57181,70.754036
1980-01-01T00:00:00Z,135.0,80.69905,79.03407
1980-01-01T00:00:00Z,136.0,76.0229,72.85052
1980-01-01T00:00:00Z,137.0,72.248726,68.236084
1980-01-01T00:00:00Z,138.0,67.60596,63.298794
1980-01-01T00:00:00Z,139.0,60.156048,66.5824
1980-01-01T00:00:00Z,140.0,56.67338,66.8744
1980-01-01T00:00:00Z,141.0,56.8294,64.7807
1980-01-01T00:00:00Z,142.0,53.796097,66.67244
1980-01-01T00:00:00Z,143.0,54.8235,56.97106
1980-01-01T00:00:00Z,144.0,52.767532,51.64109
1980-01-01T00:00:00Z,145.0,49.953556,55.196213
1980-01-01T00:00:00Z,146.0,63.806797,67.95771
1980-01-01T00:00:00Z,147.0,65.49703,72.78377
1980-01-01T00:00:00Z,148.0,55.023735,76.86397
1980-01-01T00:00:00Z,149.0,63.427372,67.77351
1980-01-01T00:00:00Z,150.0,56.07545,62.93715
1980-01-01T00:00:00Z,151.0,56.869743,60.569653
1980-01-01T00:00:00Z,152.0,54.203007,59.097454
1980-01-01T00:00:00Z,153.0,50.296036,58.573006
1980-01-01T00:00:00Z,154.0,61.17931,68.664665
1980-01-01T00:00:00Z,155.0,60.91806,66.05378
1980-01-01T00:00:00Z,156.0,53.18737,64.48103
1980-01-01T00:00:00Z,157.0,54.223614,74.95149
1980-01-01T00:00:00Z,158.0,61.378166,82.058174
1980-01-01T00:00:00Z,159.0,65.94464,75.84343
1980-01-01T00:00:00Z,160.0,59.981438,77.1893
